,acc,val_acc,loss,val_loss
1,0.60944206,0.7771429,0.6291185450741491,0.466982569864818
2,0.8111588,0.93142855,0.4490821296309197,0.2588043711866651
3,0.81545067,0.8971428,0.4210405758181014,0.28527145164353507
4,0.8440629,0.8914286,0.3880849281094105,0.279000734772001
5,0.8612303,0.9085714,0.3713666851471081,0.26468173571995324
6,0.85979974,0.9085714,0.34385265177582125,0.2681124530519758
7,0.8440629,0.9028571,0.3715396747845778,0.2605842444726399
8,0.8855508,0.9085714,0.30358437705619823,0.2576458305971963
9,0.86552215,0.92,0.35952698196336436,0.2624543789454869
10,0.8855508,0.92,0.2988258029556752,0.24969425124781472
11,0.888412,0.9028571,0.30466726663734267,0.2917480249064309
12,0.9055794,0.8971428,0.284896172359266,0.2834555665935789
13,0.89413446,0.9085714,0.2914937607123275,0.2518145318542208
14,0.90844065,0.9142857,0.24145504196996512,0.26914990953036716
15,0.9127325,0.9142857,0.25562059239768165,0.2653247207403183
16,0.9141631,0.9142857,0.2542328126835124,0.27780097569738116
17,0.92131615,0.9142857,0.22179637847199118,0.29445528072970256
18,0.8984263,0.8914286,0.2590185345039944,0.2976398284946169
19,0.9341917,0.9142857,0.20414838582831563,0.2964710450598172
20,0.93133044,0.9142857,0.2331499527921322,0.2856380317892347
21,0.9270386,0.9142857,0.2243855416732114,0.28545027277299334
22,0.93562233,0.9142857,0.1907266964802841,0.28734388598373956
23,0.92846924,0.9142857,0.22805747782041416,0.28935919612646105
24,0.9170243,0.9142857,0.24231822656544835,0.28931642349277226
25,0.94706726,0.92,0.18764096882210268,0.2888221081239837
26,0.9227468,0.92,0.2120943453178897,0.28838951413120545
27,0.92846924,0.92,0.2199415693723081,0.28747385608298437
28,0.9341917,0.92,0.21427265692166506,0.2880392476064818
29,0.92131615,0.92,0.22766508691769644,0.2870566682730402
30,0.9298999,0.92,0.23164948668645347,0.2878377716030393
